Author,Rating,Review,Restaurant,Location
Avocado Queen (EatWithStellie),"Rated 4.0 out of 5,","Our regular restaurant when we are in IPOH ! A place where my grandparents and parents go all the time. Tasty , old school chinese food!",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jason Wong Lok Chin,"Rated 5.0 out of 5,",The classic old fashioned Chinese restaurant with ambience & very prompt service. Reservation mandatory to ensure no disappointment on arrival.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Alan Long,"Rated 4.0 out of 5,","Good food and big portion, abit pricey for ipoh town standard, great service!",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jay Khor,"Rated 5.0 out of 5,",All food ordered are good taste which I had never try in Penang before,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Fook Wah SIEW,"Rated 4.0 out of 5,",Attended a wedding dinner function 4 months back. Food is delicious,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
SHEK MING SAM,"Rated 4.0 out of 5,",Good Chinese cuisine with quality but $$$,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Betty K.,"Rated 4.0 out of 5,","Good tasty seafood, fast and friendly service.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Balakrishnan Amasi,"Rated 5.0 out of 5,",Food is good and price is reasonable. Signature dish is Fresh water prawn cook with soy sauce and kailan with yam paste. This two dish must try.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
SS Tan,"Rated 3.0 out of 5,",Popular local place. Chicken is not very tender. Vegetables average,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Vera Soon,"Rated 5.0 out of 5,","Every year CNY, this is the place to buy Yee Shang. Very friendly & efficient staff. Never have to wait.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Tony Khong,"Rated 5.0 out of 5,",The food is good and the presentation was stylish. Would advise making a reservation as this place is very popular and holds many private dinners.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Adrena B,"Rated 5.0 out of 5,",Yummy.. but very expensive..,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Wong Timothy,"Rated 4.0 out of 5,","Located at Ipoh town centre, this restaurant is very popular with locals. The food is delicious and the price is very reasonable however it is always good to check out the price of their seasonal seafood prior to ordering. This place is …MoreLocated at Ipoh town centre, this restaurant is very popular with locals. The food is delicious and the price is very reasonable however it is always good to check out the price of their seasonal seafood prior to ordering. This place is famous for the fresh water river prawns like those you find in Tg Tualang. Try their prawns cooked with soya sauce and the steam method. It is secculent and very well flavoured.  This place is always full therefore one need to book im advance.  Ample parking space at the restaurant.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
See Sum Foo,"Rated 5.0 out of 5,","Always the favorite. Usually packed  best is to make reservations.  Prawn, and fish recommended.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Anna Wong,"Rated 5.0 out of 5,",Crowded on weekends. Need to book before hand. Food is fresh & delicious,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
hope estheim,"Rated 5.0 out of 5,",Consistently delicious 😋Strongly recommend the fried soy sauce cod fish,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Lim Kok Beng,"Rated 5.0 out of 5,",Delicious food,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Aries Chong,"Rated 5.0 out of 5,",This restaurant food is very nice.. Thank the customer invited to Annual Dinner..,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
SL Corp,"Rated 5.0 out of 5,",Superb taste of Chinese cuisine! Value for money,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
เคเค Chong,"Rated 5.0 out of 5,",Serve delicious premium chinese dishes,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Yew Tong Kon,"Rated 4.0 out of 5,",One of my favorites.. delicious & tasty,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
kokweng yong,"Rated 5.0 out of 5,",delicious,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
N X,"Rated 5.0 out of 5,",Would definitely come back here again!!! The place is clean. Staffs here are very friendly and attentive. The food was great and the amount is generous! Highly recommend their tofu and kailan with yam but wish they'd reduce their yam …MoreWould definitely come back here again!!! The place is clean. Staffs here are very friendly and attentive. The food was great and the amount is generous! Highly recommend their tofu and kailan with yam but wish they'd reduce their yam portion as it was too overwhelming. Don't forget to make a reservation before going as it can be very crowded.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
michelle Lee,"Rated 5.0 out of 5,","Food 10/10Parking 8/10Service 8/10 …MoreFood 10/10Parking 8/10Service 8/10Very big place, it is good for group.Local friend bring me here, very tasty foods. Everything was authentic Ipoh style foods.I will go back for sure.Since I had foods here, I really want to eat it again.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Kington Lee,"Rated 4.0 out of 5,",Food is examplary and one of the better places around. The only catch is if your food order is late to the kitchen it can take forever to come. It is however definitely worth the wait.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Mary Yip,"Rated 5.0 out of 5,",Food is famous for the taste n lot of wedding reception here. Had to book early for the wedding reception.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Ho Shermaine,"Rated 4.0 out of 5,",good food and reasonable price. no msg👍,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Davist Wong,"Rated 5.0 out of 5,",Nice food with great pricing,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Johnny Yap,"Rated 4.0 out of 5,","Delectable Chinese food. Venue suitable for wedding dinners and functions. Can request private room if booking several tables of ten each. Menu can be planned in advance as they have set menu or you can customise. A deposit might be …MoreDelectable Chinese food. Venue suitable for wedding dinners and functions. Can request private room if booking several tables of ten each. Menu can be planned in advance as they have set menu or you can customise. A deposit might be required if big group. Credit cards accepted too. Ample parking across the road, but there is a RM 3 charge. There are two floors so the venue can accommodate a large crowd.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Rob Tan,"Rated 5.0 out of 5,",food very good. Staff very considerate.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Kenny Tahn,"Rated 4.0 out of 5,",This restaurant is amazing. Serve local cuisine and taste really delicious. No wonder its always full and packed. We order a few saucy dishes that goes well with rice. Thumbs up. So far the best I have try in Ipoh though I may have missed it the in past umpty years.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
michel lachaise,"Rated 5.0 out of 5,",Nice as usual. Can come and enjoy their specialisties.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Tan Kok Kiong,"Rated 5.0 out of 5,",Good food though pricey,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Ai Lan Soon,"Rated 2.0 out of 5,","ordered 4 dishes but only sweet n sour pork was nice. other 3 steam fish was over cooked, prawn ordinary but rather salty and yam with lotus pork was not good as pork was not stewed long enough so lacks flavour, whilst lotus very soggy, only yam was good",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Adr ian,"Rated 4.0 out of 5,",One of the famous Chinese seafood restaurant in Ipoh. Also known as Restoran Pusing Public under Pusing Public Seafood Restaurant Sdn Bhd.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
do flamingo,"Rated 5.0 out of 5,","food was great, service was great. definitely worth it as portions were big and price weren't high. overally really great experience and would definitely make a visit again",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
John Paul Jeevan,"Rated 4.0 out of 5,",Good food.  Good environment. Highly recommended,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jana F.,"Rated 4.0 out of 5,","Yummy food, vivid athmosphere with families and business partners sharing the meals. There are lots of hierarchies in serving as I observed; quite interesting to see. The service is quite fast and they all have headsets. Cheerful experience in total.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jimmy Mui,"Rated 5.0 out of 5,",We had a 3 tables dinner gathering there and the food is amazing. All the dishes were large in portion and tables are set up adequately to seat all but since they had many tables so it was a bit tight overall but we all seat comfortably enough.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
jaap van der have,"Rated 4.0 out of 5,",Good food reasonably priced,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Vincent Ng,"Rated 5.0 out of 5,","Is my top pick for Ipoh authentic Chinese restaurant, I have tried variety dishes and most to my likings and satisfaction. They have some unique menu which required pre-order. Price is fair. Many seatings. Ample parking. Must try!",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Michael Chow,"Rated 4.0 out of 5,",A favourite even amongst locals. Food is good and seafood quality fresh. Reservations recommended unless you arrive at 6pm when they open. Weekends are always very very crowded.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
saw sim ong,"Rated 4.0 out of 5,","Very reasonable pricing and good food except for this dish called ""yin yong yue""  translated as 2 types or 2 flavours fish. One side is fried and the other side steamed. Don't know how they do it but worth trying if you have a big group eating",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Willy Leong Shao Herng,"Rated 3.0 out of 5,","★★★★★☆☆ Taste★★★★☆☆☆ Cleanliness★★★☆☆☆☆ Ambiance …More★★★★★☆☆ Taste★★★★☆☆☆ Cleanliness★★★☆☆☆☆ Ambiance★★★★☆☆☆ Staff (Service)★★★★☆☆☆ Worth (Value for money)★★★★★☆☆ Location (Parking, easy to access)Food are not bad, but too crowded (as this is a famous restaurant for local people). Recommend to book before you go.Price are above average.Is a little bit hard to find parking if you plan to go late (7 pm or 8 pm).",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Rowan Lim,"Rated 5.0 out of 5,","Recommended by a local friend, the food was amazing and the staff efficient. Great place for lunch. The toilet was clean as well.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Peter Wong,"Rated 5.0 out of 5,",Good food at reasonable price 😋,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Chan Loong Loo,"Rated 5.0 out of 5,",Nice food. Usually packed.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Megapower Enterprise,"Rated 3.0 out of 5,","Food not to expectations, price on the high side",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Mok Tuck Meng,"Rated 4.0 out of 5,","A famous Chinese restaurant in Ipoh. It serves mainly Cantonese and Hakka cuisines. …MoreA famous Chinese restaurant in Ipoh. It serves mainly Cantonese and Hakka cuisines.Usually packed during dinner and if you need a table for 10, better to book in advance. Weekends and holidays are usually packed and not advisable to walk in but you can always try your luck.They are famous for their fried large prawns, homemade toufu, ginger chicken, wrapped fishmeat with crabmeat and brocolli, steam fishes of all types and you may enquire from the captains their other house specialities.Prices are reasonable and the food quality is one of the best in Ipoh. Enjoy.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
SeeFoon Chan-Koppen,"Rated 5.0 out of 5,",Magnificent kitchen. Very noisy though as it is your typical big and rambunctious Chinese restaurant. The Fresh Crab soup served in portions is divine...so thick with chunks of crab meat and roe that you can almost stand a spoon in it. …MoreMagnificent kitchen. Very noisy though as it is your typical big and rambunctious Chinese restaurant. The Fresh Crab soup served in portions is divine...so thick with chunks of crab meat and roe that you can almost stand a spoon in it. Order the Udang Galah or as locals call them the Tualang prawns....fresh water prawns with heads oozing with tomalley...the best pat of the dish. Another must-have is the  mustard greens topped with  flower crab meat. Famous too is their Hakka Yeong Tau Foo and their Tai Look Meen which comes with oodles of Tsu Yau Tsar (rendered pork fat lardons),Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Tan ST,"Rated 5.0 out of 5,","One of the best Chinese Restaurant in town, always pack even weekday, better make reservation ahead to makesure you have chance to taste the dishes here. They serve quite a big portion & the charges is what you pay for.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
YF Chin,"Rated 4.0 out of 5,",Food is good... I was attent for my niece dwedding dinner. But the arrangement is really not up to standard. Usually when 2 wedding dinner on going at the same floor. The restaurant should separate 2 section woth partition. But this …MoreFood is good... I was attent for my niece dwedding dinner. But the arrangement is really not up to standard. Usually when 2 wedding dinner on going at the same floor. The restaurant should separate 2 section woth partition. But this restaurant have none... and just let these 2 wedding dinner having it at the open space... so disappointed.....,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
William Kam,"Rated 5.0 out of 5,",One of the best Chinese restaurants in ipoh 😋👍,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Soke Chin Leong,"Rated 5.0 out of 5,","Food nice, staff friendly, nice restaurant to choose it.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
CG Teoh,"Rated 5.0 out of 5,",Fantastic food fast service and reasonable price,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Samy Chong,"Rated 5.0 out of 5,","Absolutely delicious, stunning presentation and great experience. If you are in this town and not visit this restaurant, you would have missed one of the great wonders of this world!",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Desmond Chua,"Rated 5.0 out of 5,","From a Singaporean's point of view, this restaurant boasts the lively atmosphere of a Singaporean Chinese restaurant of the 70s. …MoreFrom a Singaporean's point of view, this restaurant boasts the lively atmosphere of a Singaporean Chinese restaurant of the 70s.The food is just fantastic. We've been here twice so far and were never disappointed.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Ant Tml,"Rated 4.0 out of 5,",Good food and the thoughtful Captain was willing to replace all the bowls of rice to steaming hot rice due to long wait for guests,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Chee Keong Ang,"Rated 5.0 out of 5,","Typical Chinese restaurant. The food here is excellent. Service was tip top as well. On a Monday evening, all the tables were full. Level 2 seems to have a wedding dinner.Will definitely visit again.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
chew e l,"Rated 5.0 out of 5,",Delicious Chinese cuisine. Reasonable prices. Good service.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Seng Wai Hung,"Rated 5.0 out of 5,","One of the best Chinese cuisine restaurant in town! Must try their signature steam garlic chicken and fresh large shrimp, which you couldn't find other places to beat their taste.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Kev Chan,"Rated 3.0 out of 5,","Food is still good, but cleanliness was a big issue. The plates were dirty and so were the cutleries. After a couple of times prompting them to change it still comes back dirty. Had to resort to cleaning it ourselves.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Peter Koh,"Rated 5.0 out of 5,",Went for dinner and according to my friend certain dishes need to order a day in advance. Great food and spacious restaurant. Very popular among local and tourists.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Eddie Wong,"Rated 4.0 out of 5,","The place though is old, but the dishes very nice; clouded with people who enjoy food. Crystalline ice plants salad must try.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Hoo Siew,"Rated 4.0 out of 5,","Pusing Public Seafood Restaurant (Mun Choong) Ipoh serves really delicious, flavorful food in huge serving, generous and rich in ingredient.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
SM Z,"Rated 5.0 out of 5,",Love the food here and service is good compare others similar restaurant. Keep up the great job!,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jun Lem Wang,"Rated 5.0 out of 5,","One of the most premium restaurants available in Ipoh. A special occasion brought me in for the latest treat, with really fresh abalone and lobster meat (that I don't think I'll be able to afford, at least for a while, haha). Definitely …MoreOne of the most premium restaurants available in Ipoh. A special occasion brought me in for the latest treat, with really fresh abalone and lobster meat (that I don't think I'll be able to afford, at least for a while, haha). Definitely must try, especially for anniversaries, parties, celebrations (though beware of December, where the entire place is filled to the brim with reservations).",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
gevari devi,"Rated 5.0 out of 5,",The best Chinese cuisine is served here. Price is rather to expensive but matches the taste...so gives you worth for spending.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Derek,"Rated 3.0 out of 5,",Food's good here.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
William Fong,"Rated 4.0 out of 5,","Very old restaurant in ipoh that maintain the consistency in quality of food while putting effort in catching up with modern menu, staff are professional even they are retiree, but deco is very dated and old, in a sense of maintaining the …MoreVery old restaurant in ipoh that maintain the consistency in quality of food while putting effort in catching up with modern menu, staff are professional even they are retiree, but deco is very dated and old, in a sense of maintaining the nostalgia feel of the old, its a hit and miss depends on the person hosting the venue. Good professional wedding deco can do wonders here, bad ones can totally screw up too.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jk Lim,"Rated 5.0 out of 5,","their deep fried codfish and prawn is my favorite dish real ood taste and crunchy ,price not cheap but taste good ,one of the best big chinese restoran in ipoh town,this hq only the others branch near pasir pinji front send heng too oily not that crunchy enough",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Kok Kah tuck,"Rated 3.0 out of 5,",The food is ok. Especially their house dish which Ginger Chicken.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Hon Tong Tang,"Rated 5.0 out of 5,",One of the best restaurants at Ipoh,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Marcus Goh,"Rated 5.0 out of 5,","Very good Chinese seafood restaurant at very reasonable and affordable price.Service is fast and attentive, big portion is satisfying.Popular dining location for locals and visiting to this location in town area.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Michael Ng,"Rated 4.0 out of 5,",Love this place. Yummy food at great prices.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
CHANG KHIN SHOE,"Rated 4.0 out of 5,",They have a few good chefs. Most of the dishes r delicious. Moderate price. Mostly crowded.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Thomas Lam,"Rated 5.0 out of 5,","The best restaurant in Perak, the food and services is second to none, you can rest assured a satisfied meal and the price is always reasonable. Always fully packed, best to make reservations.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Raymond Hew,"Rated 5.0 out of 5,",Superb Chinese foods. Best in Ipoh so far.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jensen Chen,"Rated 5.0 out of 5,","Place is normally packed, book to get a table. Service is still good despite having a full house. …MorePlace is normally packed, book to get a table. Service is still good despite having a full house.Ginger sauce chicken, pan fried prawns, steamed tiger grouper. These are the famous dishes to order.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Vincent Chow,"Rated 4.0 out of 5,",Nice environment. Service and food are good!,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
San Lee,"Rated 5.0 out of 5,",Lives up to its reputation with the fantastic food served here. The deep fried cod is indeed delicious in its simplicity.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Wong KC,"Rated 4.0 out of 5,",Good food and affordable,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
LFCY,"Rated 4.0 out of 5,",Foods nice but will be very thirsty after tat,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Fung Kwong Lim,"Rated 5.0 out of 5,",Very good wok style of cooking.  Very original Chinese cooking. Excellent,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Allan Chang,"Rated 5.0 out of 5,",Good quality chinese / cantonese style food.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Gerry Danen,"Rated 4.0 out of 5,",Great food but a bit noisy,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Leow Sam Nyin,"Rated 3.0 out of 5,","with MCO fully enforced, no dine-in and only take-away. Very popular and busy take away business",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Benjamin Ang,"Rated 4.0 out of 5,","A chinese restaurant in the heart of ipoh, with a widespread variety of chinese & cantonese cuisine. They feature many dishes from mains, to appetizers to desserts. They can be ordered individually or ordered in course meals catered to several paxs.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Lim Willett,"Rated 5.0 out of 5,",One of the best restaurant in ipoh with authentic home cook food style. Must try the prawn as well as thier pork dish. Highly recommended.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
CN Jose,"Rated 4.0 out of 5,",Good food,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
zack yeoh,"Rated 4.0 out of 5,","Food is nice, Price is expensive, Environment is clean but noisy, come once a year for family lunch when back for cheng beng. Need to book in advance for table.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Vivian Chong,"Rated 5.0 out of 5,","Food was very very special and delicious....The sad part is the indoor restaurant is too noisy if it is full house...Do make reservation, as it always full house😌",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Phoon Peng Pooi,"Rated 4.0 out of 5,","This place serve delicious meals, restaurent style.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
John Kim,"Rated 4.0 out of 5,","This restaurant in ipoh served quality food with reasonable price and the potion is quite big environment is nice and the staff is quite friendly and helpful staff, will definitely return to try other dishes.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
James Tham,"Rated 4.0 out of 5,",Excellent Chinese restaurant food and good service. Very popular with both locals and travellers. Need to book in advance or will need to wait.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Vwarane SR (Vicky),"Rated 3.0 out of 5,",Food taste just average. Service was good.Experienced in August 2020.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Simon Lee,"Rated 5.0 out of 5,","Must try their steamed Soon Hock fish, Fried Rice, Steamed tou fu (best in town). Reasonably priced, very popular with the locals.  Never disappointed.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Michael Min,"Rated 5.0 out of 5,","Amazing place for big groups of people. Fresh ingredients, good service, and big portions! The shrimp and cod fish are a must try.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
SV Singam,"Rated 4.0 out of 5,","Very good cuisine, service could improve.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jon Ooi,"Rated 5.0 out of 5,",Great food and service,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Dennis Chia,"Rated 4.0 out of 5,",Very good food. Advice you pre-book table. They dont allow walk in customer. Normally very crowded.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Ting Shalom,"Rated 3.0 out of 5,","Food taste good, in reasonable portion & reasonable price. Avoid Sunday as the restaurant is surrounded by flea market that block up all the roads.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Kuan Khoon Tan,"Rated 3.0 out of 5,","Passable food, simple decor. Family style restaurant that stood the ages.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Khoo Keeboon,"Rated 5.0 out of 5,",Good food @ warm service.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jessica Tai YF,"Rated 4.0 out of 5,",Wedding dinner food served was good. Only no lift to upstairs where the wedding banquet is which elderly people find it hard to go up and down,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Tommy Chooi,"Rated 4.0 out of 5,",traditional cantonese food and value for money ! recomended !,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jeremy Chan,"Rated 5.0 out of 5,","Food served quickly, one of the best restaurants in Ipoh, recommended place.This place is usually crowded, booking earlier to avoid disappointment.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Andy Lai,"Rated 2.0 out of 5,",Clean but staff (foreigner / non-local) are not friendly and food are rushing out and taken away before able to finish eating. Usually deal with mass event like weeding dinner.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Tze Kheong Chooi,"Rated 5.0 out of 5,",Probably my favourite premium chinese restaurants anywhere in Malaysia. Good and consistent quality over the years.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
ronald lim,"Rated 4.0 out of 5,",Good food. The restaurant was full when we were there on a Monday night. Goes to show how good it is.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Jimmy Chua,"Rated 5.0 out of 5,",A very yummy restaurant for lunches and dinners of all occasions.  Vast choices in menus and excellent customer services.,Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
Gabrielle :b,"Rated 4.0 out of 5,","A Chinese cuisine restaurant with good service, clean environment and foods are well served with huge serving. Available for wedding banquet too.",Restaurant Pusing Public,"G 57, 65, Jalan Horley, Kampung Jawa, Ipoh, Perak"
